uid,churn
1.3586118E7,1
1.6844004E7,1
2.2030996E7,0
2.3232528E7,1
2.3885908E7,1
3.2366964E7,1
3.2962054E7,0
3.624928E7,1
3.9197032E7,1
3.9567468E7,0
4.6055784E7,0
4.6622892E7,0
4.664648E7,0
4.9423096E7,0
5.0974328E7,1
5.147808E7,0
5.326368E7,1
5.6780352E7,0
6.779544E7,1
6.948396E7,0
7.1357496E7,1
8.230696E7,1
8.8352896E7,1
9.289912E7,1
9.8137952E7,0
1.000718E8,1
1.11103616E8,0
1.14363528E8,1
1.14464112E8,1
1.19628256E8,1
1.20088152E8,1
1.26449704E8,1
1.27271872E8,0
1.29878248E8,1
1.34368384E8,1
1.38803888E8,1
1.39064352E8,1
1.39995712E8,1
1.41500208E8,1
1.4265592E8,1
1.42870416E8,1
1.48932784E8,1
1.49004384E8,1
1.4987664E8,1
1.50061904E8,1
1.51180032E8,0
1.51291552E8,1
1.51678416E8,1
1.52414592E8,0
1.5299608E8,1
1.53683072E8,1
1.53809824E8,1
1.53967376E8,1
1.5397152E8,1
1.5397184E8,0
1.53996784E8,1
1.54086256E8,1
1.54260224E8,1
1.5427656E8,1
1.54291872E8,1
1.54296864E8,1
1.54315056E8,1
1.54334912E8,1
1.54356176E8,1
1.54389872E8,1
1.54413072E8,1
1.54415472E8,1
1.54422464E8,1
1.54426592E8,1
1.54438944E8,1
1.5445144E8,1
1.5445392E8,1
1.54460208E8,1
1.54463616E8,1
1.54464736E8,1
1.54468832E8,1
1.54469696E8,1
1.54470112E8,1
1.544796E8,1
1.54480016E8,1
1.54487824E8,1
1.5448824E8,1
1.5449048E8,1
1.54495328E8,1
1.54502976E8,1
1.54507152E8,1
1.5450728E8,1
1.5450864E8,1
1.545112E8,1
1.54520768E8,1
1.54522624E8,1
1.54523184E8,1
1.54535328E8,1
1.54541984E8,1
1.54545536E8,1
1.54545552E8,1
1.5455304E8,1
1.545548E8,1
1.54555184E8,1
1.54558928E8,1
1.54561968E8,1
1.54565792E8,1
1.54575072E8,1
1.54575712E8,1
1.54575904E8,1
1.54576528E8,1
1.54584864E8,1
1.54587888E8,1
1.54590352E8,1
1.54590912E8,1
1.54591216E8,1
1.54595232E8,1
1.54601536E8,1
1.5460312E8,1
1.54604576E8,1
1.54606192E8,1
1.54617184E8,1
1.54619152E8,1
1.54621744E8,1
1.54622032E8,1
1.54629856E8,1
1.54632528E8,1
1.54633696E8,1
1.54635792E8,1
1.5463704E8,1
1.54637856E8,1
1.54637872E8,1
1.54640544E8,1
1.54642624E8,1
1.54642672E8,1
1.54644848E8,1
1.54646416E8,1
1.5465104E8,1
1.546604E8,1
1.54660416E8,1
1.54663376E8,1
1.54664096E8,1
1.54667984E8,1
1.54668288E8,1
1.54671472E8,1
1.54674928E8,1
1.54675008E8,1
1.54675488E8,1
1.54683776E8,1
1.54687056E8,1
1.5468992E8,1
1.54691632E8,1
1.54694224E8,1
1.54697856E8,1
1.54698976E8,1
1.54701248E8,1
1.54705088E8,1
1.5471824E8,1
1.54722496E8,1
1.54733392E8,1
1.54734432E8,1
1.54734464E8,1
1.54736368E8,1
1.5473768E8,1
1.54738256E8,1
1.54742128E8,1
1.54743536E8,1
1.5474488E8,1
1.5474592E8,1
1.54746528E8,1
1.54749776E8,1
1.54752368E8,1
1.54752832E8,1
1.54762528E8,1
1.54766544E8,1
1.54767568E8,1
1.54767584E8,1
1.54768416E8,1
1.54773136E8,1
1.54773776E8,1
1.54776528E8,1
1.54796736E8,1
1.54806144E8,1
1.54806576E8,1
1.54810112E8,1
1.54815328E8,1
1.5481864E8,1
1.5482136E8,1
1.54825888E8,1
1.54827712E8,1
1.54831296E8,1
1.54833568E8,1
1.54834256E8,1
1.54848176E8,1
1.54909152E8,1
1.54944672E8,1
1.54951168E8,1
1.55052144E8,1
1.5505872E8,1
1.55134976E8,1
1.55163968E8,1
1.55174896E8,1
1.55270272E8,1
1.55343776E8,1
1.55589792E8,1
1.55644256E8,1
1.5569352E8,1
1.55878208E8,1
1.5602368E8,1
1.5610576E8,1
1.56781424E8,1
1.56827792E8,1
1.57090912E8,0
1.5713536E8,1
1.57212656E8,1
1.57394944E8,1
1.574844E8,1
1.57635552E8,1
1.58217216E8,1
1.60120624E8,1
1.61846384E8,0
1.61962768E8,1
1.623176E8,1
1.6264184E8,0
1.630276E8,1
1.63616032E8,1
1.63935968E8,1
1.64281792E8,1
1.647724E8,1
1.64957408E8,0
1.65019616E8,1
1.65541888E8,1
1.65989664E8,1
1.66056976E8,0
1.66238704E8,1
1.66256176E8,0
1.66559232E8,1
1.6667064E8,0
1.66959504E8,1
1.67138576E8,1
1.67176912E8,1
1.67239728E8,0
1.67454464E8,1
1.67468288E8,1
1.67565792E8,1
1.67583056E8,0
1.67586064E8,0
1.6758928E8,0
1.67590224E8,0
1.67593984E8,0
1.67594144E8,0
1.6760728E8,0
1.67610672E8,1
1.67622528E8,1
1.67623552E8,1
1.67635136E8,0
1.67635776E8,0
1.67636336E8,0
1.67637328E8,0
1.67645808E8,0
1.67649904E8,0
1.67652432E8,0
1.67653152E8,0
1.67653808E8,0
1.67656496E8,0
1.67656944E8,1
1.676584E8,0
1.6766008E8,0
1.67667216E8,0
1.67668928E8,0
1.6766936E8,0
1.67670256E8,0
1.67678048E8,0
1.67680688E8,0
1.67680816E8,0
1.6768672E8,0
1.67688192E8,0
1.67696464E8,0
1.67697856E8,0
1.67699136E8,0
1.67699936E8,0
1.67700752E8,0
1.67709152E8,0
1.67711616E8,0
1.67711984E8,0
1.6771248E8,0
1.67712992E8,0
1.67716336E8,0
1.67723136E8,0
1.67728944E8,0
1.67730496E8,0
1.67732608E8,0
1.67734768E8,0
1.67742288E8,0
1.6774512E8,0
1.67748256E8,1
1.67753584E8,0
1.67756464E8,0
1.6776168E8,0
1.67764496E8,0
1.67764624E8,0
1.6776784E8,0
1.67773568E8,0
1.67783808E8,0
1.6778728E8,0
1.67789744E8,0
1.67789808E8,0
1.67797376E8,0
1.67804864E8,0
1.6781144E8,0
1.67812368E8,1
1.67818352E8,0
1.6782272E8,0
1.6782416E8,0
1.6782808E8,1
1.67831472E8,1
1.67834832E8,0
1.67836864E8,0
1.67839264E8,0
1.67842224E8,0
1.67845296E8,0
1.67846464E8,0
1.6784872E8,0
1.6785536E8,0
1.67861072E8,0
1.67861376E8,0
1.67867392E8,0
1.678764E8,0
1.678772E8,0
1.6788632E8,1
1.67890592E8,0
1.67891632E8,0
1.6789176E8,0
1.6789616E8,0
1.67897088E8,0
1.678984E8,0
1.67901664E8,0
1.6790176E8,0
1.67902944E8,0
1.67910032E8,0
1.67917104E8,0
1.67917888E8,0
1.67920832E8,0
1.67924496E8,0
1.67924976E8,0
1.67926384E8,0
1.679292E8,0
1.67929712E8,0
1.6793016E8,0
1.67932368E8,0
1.67942144E8,0
1.6794256E8,0
1.67943136E8,0
1.67943952E8,0
1.67947952E8,0
1.67950704E8,0
1.67952688E8,0
1.67960912E8,0
1.6797104E8,0
1.67974512E8,0
1.67976336E8,0
1.67980928E8,0
1.6798168E8,0
1.67985744E8,0
1.67991344E8,0
1.6799216E8,0
1.67994304E8,0
1.67996224E8,1
1.68000304E8,0
1.68004112E8,0
1.68011536E8,1
1.680136E8,0
1.68014416E8,0
1.68016336E8,0
1.68017424E8,0
1.680284E8,0
1.68030816E8,0
1.6803816E8,0
1.68049424E8,0
1.68058192E8,0
1.6805944E8,0
1.68069136E8,0
1.68069488E8,0
1.68069568E8,1
1.68074E8,0
1.68075536E8,0
1.68082736E8,0
1.6808656E8,1
1.68087696E8,0
1.68090704E8,1
1.68093696E8,1
1.68093712E8,0
1.68100864E8,1
1.681032E8,1
1.68103824E8,0
1.68106384E8,0
1.68113712E8,0
1.6812256E8,0
1.68123104E8,0
1.68124E8,0
1.68128688E8,0
1.68130272E8,0
1.68134096E8,0
1.68138928E8,0
1.68140528E8,0
1.68143904E8,0
1.6814744E8,0
1.68151536E8,0
1.68156224E8,0
1.6815744E8,0
1.68163248E8,0
1.68164736E8,0
1.6817512E8,0
1.68177344E8,0
1.68184432E8,1
1.68184672E8,0
1.68195632E8,0
1.68196464E8,0
1.68200368E8,0
1.68200384E8,0
1.68201136E8,0
1.68204208E8,1
1.68211168E8,0
1.68212672E8,0
1.68219872E8,0
1.6822048E8,0
1.6822112E8,0
1.68222224E8,0
1.6822248E8,0
1.68223984E8,0
1.68230224E8,0
1.68236032E8,0
1.6824376E8,0
1.6824544E8,0
1.68253136E8,0
1.68254272E8,0
1.68257664E8,0
1.6825848E8,0
1.68258976E8,0
1.6826024E8,0
1.68263904E8,0
1.68274128E8,0
1.68274304E8,0
1.68275312E8,0
1.68277664E8,0
1.68279888E8,0
1.68281584E8,0
1.68281904E8,0
1.6828392E8,0
1.68285824E8,0
1.68296736E8,0
1.68300336E8,0
1.68303424E8,0
1.68307696E8,0
1.68308896E8,0
1.68312064E8,0
1.68314096E8,0
1.68315936E8,0
1.68318096E8,0
1.6832008E8,0
1.6832136E8,0
1.6832216E8,0
1.6832488E8,0
1.6832592E8,0
1.68329328E8,0
1.68332912E8,0
1.6833304E8,0
1.68335584E8,0
1.6834248E8,1
1.68347136E8,0
1.6835016E8,0
1.68360944E8,1
1.68362384E8,0
1.68362944E8,1
1.6836352E8,0
1.68365824E8,0
1.68368208E8,0
1.68369296E8,0
1.6837024E8,0
1.68379648E8,0
1.68395712E8,0
1.68415552E8,0
1.6841672E8,0
1.68419504E8,0
1.68420832E8,0
1.68431904E8,0
1.68434048E8,0
1.6843448E8,0
1.68435056E8,0
1.68438256E8,0
1.68442704E8,0
1.68443248E8,0
1.68446912E8,0
1.68451152E8,0
1.68456512E8,0
1.68459984E8,0
1.68461104E8,0
1.68461824E8,0
1.6846288E8,0
1.6846976E8,0
1.68472832E8,0
1.68472864E8,0
1.68475296E8,0
1.68485312E8,0
1.68488304E8,0
1.68491456E8,0
1.6849288E8,0
1.68497216E8,0
1.68498528E8,0
1.6850376E8,0
1.68510704E8,0
1.68512032E8,0
1.68513616E8,0
1.68516336E8,0
1.685208E8,1
1.68532272E8,0
1.68535696E8,0
1.68539152E8,0
1.685396E8,0
1.68540288E8,0
1.6854296E8,0
1.68550256E8,0
1.68553024E8,0
1.68555408E8,0
1.68558544E8,0
1.68562672E8,0
1.68566256E8,1
1.68566784E8,1
1.68570352E8,1
1.68571248E8,0
1.6857224E8,1
1.68573152E8,1
1.68576368E8,1
1.68576848E8,0
1.6857752E8,1
1.68579392E8,0
1.68581472E8,0
1.68583424E8,0
1.68584704E8,0
1.68587712E8,0
1.68590416E8,0
1.68594976E8,0
1.68595872E8,0
1.68598064E8,0
1.68598736E8,0
1.68598912E8,0
1.68602928E8,0
1.68605024E8,0
1.68609488E8,0
1.68609504E8,0
1.686108E8,0
1.68615568E8,0
1.68615888E8,0
1.68616224E8,0
1.68621312E8,0
1.686236E8,0
1.6862608E8,0
1.68633808E8,0
1.68636688E8,0
1.68648464E8,0
1.686528E8,0
1.68658272E8,0
1.6866048E8,0
1.68661152E8,0
1.6866336E8,0
1.68665328E8,0
1.68668112E8,0
1.68670336E8,0
1.6867584E8,0
1.68676768E8,0
1.686784E8,0
1.68684848E8,0
1.68685328E8,0
1.68685392E8,0
1.68690288E8,0
1.68690896E8,0
1.68691024E8,0
1.68691664E8,0
1.6869728E8,0
1.68709376E8,0
1.68711168E8,0
1.68712944E8,0
1.6871656E8,0
1.68720672E8,0
1.68720816E8,0
1.68722176E8,0
1.68725872E8,0
1.68740016E8,0
1.68752352E8,0
1.68759024E8,0
1.68759344E8,0
1.68762192E8,0
1.68769184E8,1
1.6877024E8,0
1.6877056E8,0
1.6877904E8,0
1.68783152E8,0
1.68783472E8,0
1.6879304E8,1
1.6880152E8,0
1.6880544E8,1
1.68808448E8,0
1.68808736E8,0
1.68810912E8,0
1.68813936E8,1
1.68815696E8,0
1.68817568E8,0
1.6882032E8,0
1.68825568E8,0
